iter	Passed	Remaining
1088	43316	36236
1089	43351	36192
1090	43390	36152
1091	43429	36111
1092	43465	36069
1093	43506	36029
1094	43543	35988
1095	43578	35943
1096	43616	35902
1097	43653	35861
1098	43689	35817
1099	43726	35776
1100	43764	35735
1101	43800	35692
1102	43833	35647
1103	43870	35605
1104	43907	35563
1105	43940	35517
1106	43973	35473
1107	44012	35432
1108	44047	35389
1109	44080	35343
1110	44113	35299
1111	44146	35253
1112	44183	35212
1113	44222	35171
1114	44259	35129
1115	44292	35084
1116	44329	35043
1117	44365	35000
1118	44403	34959
1119	44440	34917
1120	44477	34875
1121	44511	34831
1122	44544	34786
1123	44583	34746
1124	44620	34704
1125	44656	34661
1126	44695	34622
1127	44730	34579
1128	44765	34535
1129	44802	34493
1130	44838	34451
1131	44871	34406
1132	44908	34365
1133	44942	34320
1134	44978	34278
1135	45019	34240
1136	45057	34199
1137	45092	34156
1138	45130	34115
1139	45162	34069
1140	45190	34021
1141	45222	33976
1142	45251	33928
1143	45281	33882
1144	45313	33836
1145	45344	33790
1146	45375	33744
1147	45404	33697
1148	45439	33654
1149	45470	33608
1150	45502	33563
1151	45535	33519
1152	45567	33474
1153	45598	33428
1154	45628	33381
1155	45657	33334
1156	45686	33287
1157	45717	33242
1158	45750	33197
1159	45785	33155
1160	45817	33109
1161	45843	33060
1162	45872	33014
1163	45901	32966
1164	45929	32919
1165	45961	32874
1166	45993	32829
1167	46027	32786
1168	46064	32745
1169	46101	32704
1170	46130	32657
1171	46158	32610
1172	46192	32567
1173	46225	32523
1174	46257	32478
1175	46291	32435
1176	46321	32389
1177	46351	32343
1178	46380	32297
1179	46410	32251
1180	46440	32205
1181	46470	32159
1182	46501	32114
1183	46531	32069
1184	46561	32023
1185	46598	31982
1186	46631	31939
1187	46664	31895
1188	46696	31851
1189	46738	31813
1190	46771	31769
1191	46801	31724
1192	46836	31682
1193	46869	31638
1194	46901	31594
1195	46934	31551
1196	46967	31507
1197	47005	31468
1198	47039	31425
1199	47073	31382
1200	47109	31341
1201	47142	31297
1202	47176	31254
1203	47208	31210
1204	47238	31165
1205	47268	31120
1206	47305	31079
1207	47337	31035
1208	47376	30996
1209	47409	30953
1210	47440	30908
1211	47468	30862
1212	47498	30817
1213	47526	30770
1214	47562	30729
1215	47604	30692
1216	47648	30656
1217	47694	30621
1218	47745	30589
1219	47791	30555
1220	47824	30512
1221	47858	30469
1222	47892	30427
1223	47927	30385
1224	47963	30344
1225	47999	30303
1226	48040	30265
1227	48078	30225
1228	48112	30182
1229	48149	30142
1230	48184	30100
1231	48222	30060
1232	48259	30020
1233	48293	29977
1234	48325	29934
1235	48357	29890
1236	48398	29852
1237	48437	29813
1238	48473	29772
1239	48505	29729
1240	48540	29687
1241	48572	29643
1242	48605	29601
1243	48637	29558
1244	48672	29516
1245	48710	29476
1246	48746	29435
1247	48785	29396
1248	48823	29356
1249	48868	29321
1250	48907	29282
1251	48947	29243
1252	48990	29206
1253	49030	29168
1254	49067	29127
1255	49103	29086
1256	49141	29046
1257	49182	29009
1258	49218	28968
1259	49255	28928
1260	49292	28887
1261	49329	28846
1262	49368	28807
1263	49408	28769
1264	49445	28729
1265	49511	28705
1266	49557	28670
1267	49599	28633
1268	49633	28590
1269	49682	28557
1270	49719	28517
